Listing,Model,Platform,Carrier,Color,Storage,ListDate,ExpiredDate,SaleDate,Views,Quantity,Price,Condition,Title,Description,Damage,Sold
LUJM25826,Apple iPhone X,iOS,AT&T,Gray,256 GB,"Sep 03, 2020",,"Sep 16, 2020",42,1,499,Mint,,"
Phone tested 100% fully functional.
Phone is for AT&T with battery health of 89%
Cosmetic condition of the phone is excellent. Screen looks amazing!
Phone has all original parts and screen was never replaced!
Comes with phone only.Does not include charger or SIM Card.
We are a corporate seller with thousands of positive reviews on Swappa!
Buy with confidence and we accept returns from 14 days after purchase. We will give a 100% refund if the item is defective or not as described.
No waiting, we always ship the next business day!
Shipping & Handling:Orders will ship to the address provided to PayPal during checkout. Due to a recent PayPal policy change order cancellation will result in a non-refundable PayPal fee charge of 2.9%+$0.30
Returns:Buyer will pay for return shipping. Unwanted / Order by mistake will access a 20% restocking fee + initial shipping cost.
",,Yes
LRSI36882,Apple iPhone X,iOS,AT&T,Silver,64 GB,"Apr 22, 2019",,,538,0,439,Mint,,"
This item is used, in mint condition and ready for activation. Device has no major marks on the front and back. See pictures. This item does NOT include its SIM Card. Device has been fully tested and passed our 30-point quality control inspection. Device will be shipped out within 1 business day. Devices are generally delivered within 3-5 business days after shipping.
We offer a 30-day money back guarantee on all our devices.
Includes:Phone only, no accessories
*Device does not include a sim card*
--If you purchase a phone or tablet without a box from us: these devices are sold by themselves (handset only, without accessories). There are no chargers, SIM card ejectors, headphones or otherwise with the devices.--If you purchase a new device: the device will come with a box, USB cable, wall adapter, and other accessories if mentioned specifically in the description. --If you purchase a smartwatch: the watch and charger will be included--All devices come without SIM cards.
We use standard images (taken in-house!) on our listings which are general representations of condition. Please refer to Swappa's grading policies for further details.
The Cellular Resource is a business seller. We are open Monday - Friday from 10am - 6pm EST. We are not open on Saturday or Sunday. Your questions are important to us! We respond to customer inquiries in the order that they are received as soon as we can. We look forward to getting you a device quickly!
",,
LUJW20829,Apple iPhone X,iOS,AT&T,Gray,256 GB,"Sep 13, 2020",,"Sep 15, 2020",28,1,415,Mint,,"
Well maintained and extremely clean iPhone X with usb lightning cable included. Phone has never been out of a case and very lightly used. Flawless glass on the back and front with no visible scratches or wear and tear. Excellent battery healthy that charges quickly and holds.
",,Yes
LUJQ68550,Apple iPhone SE 2nd Gen,iOS,AT&T,Red,128 GB,"Sep 07, 2020","Sep 17, 2020",,29,1,415,Good,,"
AT&T prepaid unit locked for 6 months paid in full I have the receipt from the owner.If you would want to use Verizon or t mobile Gevey pro chip will make it work I do have them. Comes with the case. Active right now in my 2nd line
","
No damage
",
LUJJ25678,Apple iPhone SE 2nd Gen,iOS,AT&T,Black,64 GB,"Aug 30, 2020",,"Sep 10, 2020",50,1,339,Mint,,"
iPhone Se new condition ATT 64gb black 100% battery lifeNo signs of use like new comes with charger and boxApple warranty until 4/24/21This is for being sold for att carrier only And not unlocked for other carriers. It is ready to activate for AT&T
Returns only if there is an issue with device within 5 days All returns will have to pay a 3% PayPal return fee
",,Yes
LUJS32583,Apple iPhone SE 2nd Gen,iOS,AT&T,Black,128 GB,"Sep 09, 2020",,"Sep 09, 2020",11,1,395,New,,"
Brand new
",,Yes
LUJW91551,Samsung Galaxy S10 Plus,Android,AT&T,Black,128 GB,"Sep 13, 2020",,"Sep 13, 2020",20,1,480,Mint,,"
pre-owned and in mint condition black phone with original box,ear buds and a leather note book style case by Otterbox (black). Also included is the original charger plug with an aftermarket cloth cord.
",,Yes
LUJN97808,Samsung Galaxy S10 Plus,Android,AT&T,Black,128 GB,"Sep 04, 2020",,"Sep 13, 2020",32,1,514,Mint,,"
The device is in overall excellent condition. There are no visible scratches or scuffs on the screen, sides, or on the back.The device is unlocked and can be used with AT&T and any GSM carrier worldwide. However, it will not work with CDMA carriers like sprint or Boost Mobile.Comes with Samsung fast charging adapter and usb sync cable.
",,Yes
LUJN13511,Samsung Galaxy S10 Plus,Android,AT&T,Black,128 GB,"Sep 04, 2020",,"Sep 13, 2020",51,1,514,Mint,,"
The device is in overall excellent condition. There are no visible scratches or scuffs on the screen, sides, or on the back.The device is unlocked and can be used with AT&T and any GSM carrier worldwide. However, it will not work with CDMA carriers like sprint or Boost Mobile.Comes with Samsung fast charging adapter and usb sync cable.
",,Yes
LUJN88679,Samsung Galaxy S10,Android,AT&T,White,128 GB,"Sep 04, 2020",,"Sep 15, 2020",55,1,385,Fair,,"
This is a used phone in fair condition. Charger/USB Cord are NOT included. This device is unlocked from AT&T and it can be used with any carriers except Sprint.
We do not ship internationally nor to any US territories. We may ship certain devices with “Signature Required Upon Deliver” at our discretion. We are not liable for arranging special pick up requests with the shipping carriers. We reserve the right to cancel orders if the buyer does not have a verified PayPal address.
We offer a 30-day warranty that begins once the device shows as delivered by the tracking method provided. Warranty only applies as long as the device is in the US. This does not cover physical damage, or any user mishandling that affects the usage of the device. We don't accept buyer's remorse returns.
OUR PRICES ARE FIRM. Please note that we will NOT respond to requests for reduced prices.
","
Front glass has very faint scratches. The rear glass has some marks and other imperfections. There are light scratches and scuffs on the edges.
",Yes
